result,white_player,black_player,white_elo,black_elo,timezone,start_time,end_time
loss,SCHMITZ874,Kingcord1,590,612,UTC,19,19
loss,SCHMITZ874,StefanovaMama,575,636,UTC,07,07
win,SCHMITZ874,thefavorit,584,584,UTC,00,00
loss,SCHMITZ874,iDclul101,575,549,UTC,00,00
loss,SCHMITZ874,sirfredgrey,364,411,UTC,20,20
loss,SCHMITZ874,AlexNazario12,431,410,UTC,00,00
loss,SCHMITZ874,Tomsouza82,424,482,UTC,01,01
win,SCHMITZ874,moisantos,434,486,UTC,20,20
loss,SCHMITZ874,jonkcchief,434,495,UTC,21,21
loss,SCHMITZ874,riahonfiyah,432,483,UTC,01,02
win,SCHMITZ874,findingthingz,437,348,UTC,02,02
win,SCHMITZ874,inaagada,446,468,UTC,05,05
win,SCHMITZ874,Chechao,454,429,UTC,17,17
win,SCHMITZ874,Nicplayschessnow,462,443,UTC,21,21
win,SCHMITZ874,delobo,469,494,UTC,06,06
loss,SCHMITZ874,jonthelegend333,454,492,UTC,20,20
tie,SCHMITZ874,Remi815,456,480,UTC,20,20
loss,SCHMITZ874,NirajxNaruto,441,488,UTC,07,07
win,SCHMITZ874,jimdpresto2,449,469,UTC,21,21
tie,SCHMITZ874,olga_irkowa,449,453,UTC,20,20
loss,SCHMITZ874,Eduartdo,448,475,UTC,02,03
win,SCHMITZ874,11fa,457,479,UTC,00,00
win,SCHMITZ874,kreateev,447,430,UTC,08,08
win,SCHMITZ874,Nosepol,449,487,UTC,00,01
tie,SCHMITZ874,fermixxxx,442,467,UTC,02,03
win,SCHMITZ874,cedo67,451,460,UTC,20,20
tie,SCHMITZ874,buloup,451,497,UTC,23,23
loss,SCHMITZ874,iolsen,457,459,UTC,10,10
loss,SCHMITZ874,erictr88,448,417,UTC,23,23
win,SCHMITZ874,JR12356,455,393,UTC,23,23
loss,SCHMITZ874,Reytlatoani,462,511,UTC,05,05
loss,SCHMITZ874,Eu_3727,472,500,UTC,00,00
loss,SCHMITZ874,alsaedi98,465,514,UTC,01,01
tie,SCHMITZ874,Asilvs37,466,460,UTC,19,19
win,SCHMITZ874,agustifelo_22,491,436,UTC,20,20
loss,SCHMITZ874,MetallaCrue70,482,456,UTC,20,21
loss,SCHMITZ874,MikeAylwin,319,306,UTC,21,21
win,SCHMITZ874,Sea1o,491,465,UTC,17,17
win,SCHMITZ874,ramsharma17,507,501,UTC,17,17
win,SCHMITZ874,Mrdgodd,357,359,UTC,04,04
loss,SCHMITZ874,Singli,491,468,UTC,19,19
win,SCHMITZ874,checkmybishop69,507,476,UTC,06,06
loss,SCHMITZ874,CaioAROD,499,523,UTC,20,20
win,SCHMITZ874,Ayoub49,459,441,UTC,18,19
loss,SCHMITZ874,HardeepMander,448,441,UTC,19,19
win,SCHMITZ874,Percyclonium,442,378,UTC,08,09
win,SCHMITZ874,Kamchess90,452,446,UTC,09,09
loss,SCHMITZ874,K1NGRE9,443,466,UTC,20,20
loss,SCHMITZ874,Zina1997,424,422,UTC,15,15
loss,SCHMITZ874,Sky-Malakas,432,402,UTC,15,15
loss,SCHMITZ874,willie365,424,378,UTC,23,23
win,SCHMITZ874,jbmma,431,372,UTC,23,23
win,SCHMITZ874,Niko805Kister,444,365,UTC,20,20
win,SCHMITZ874,damso13013,457,407,UTC,17,17
win,SCHMITZ874,stutivermalooser,473,463,UTC,07,07
loss,SCHMITZ874,JoTheWhale,463,415,UTC,07,07
loss,SCHMITZ874,avasone9,454,439,UTC,17,17
tie,SCHMITZ874,thefitantonioburgos,453,419,UTC,17,17
loss,SCHMITZ874,zirhi_d,445,475,UTC,23,23
loss,SCHMITZ874,asdfghjklxc,430,498,UTC,00,00
tie,SCHMITZ874,CMPN,431,479,UTC,06,06
loss,SCHMITZ874,Speeder976,431,416,UTC,01,01
tie,SCHMITZ874,turborayo,423,432,UTC,20,20
win,SCHMITZ874,xA1111,447,420,UTC,23,23
tie,SCHMITZ874,Nevrotik101,457,434,UTC,07,07
win,SCHMITZ874,david78370,463,369,UTC,02,02
tie,SCHMITZ874,Yrazoqui97,462,431,UTC,05,05
win,SCHMITZ874,DefeatedTitle,469,417,UTC,19,20
loss,SCHMITZ874,arendjagter,462,521,UTC,20,20
loss,SCHMITZ874,handymanemin,439,450,UTC,02,02
win,SCHMITZ874,mhmd325,432,399,UTC,20,20
loss,SCHMITZ874,mrchess400,432,480,UTC,17,17
tie,SCHMITZ874,Holder_of_Luava,433,465,UTC,17,17
tie,SCHMITZ874,ricohmp,427,464,UTC,20,20
loss,SCHMITZ874,otivis,418,414,UTC,20,20
win,SCHMITZ874,MasterRuler117999,451,428,UTC,22,22
win,SCHMITZ874,AmjadSbai,460,474,UTC,22,22
loss,SCHMITZ874,mathiaskay,453,507,UTC,22,22
win,SCHMITZ874,Pa7o7,452,353,UTC,07,07
loss,SCHMITZ874,Juaozz,434,436,UTC,17,17
win,SCHMITZ874,GAWtha2nd,441,396,UTC,02,03
